NO;ITEM DESIGN;URAIAN DESIGN;SATUAN
;;;
;;;
1;AC-ADSS-SM-12C;Jasa Pemasangan Aerial Cable Fiber Optik Single Mode 12 Core G.652 C Type ADSS Cable;meter
2;AC-ADSS-SM-24C;Jasa Pemasangan Aerial Cable Fiber Optik Single Mode 24 Core G.652 C Type ADSS Cable;meter
3;AC-ADSS-SM-48C;Jasa Pemasangan Aerial Cable Fiber Optik Single Mode 48 Core G.652 C Type ADSS Cable;meter
4;AC-ADSS-SM-96C;Jasa Pemasangan Aerial Cable Fiber Optik Single Mode 96 Core G.652 C Type ADSS Cable;meter
5;AC-ADSS-SM-144C;Jasa Pemasangan Aerial Cable Fiber Optik Single Mode 144 Core G.652 C Type ADSS Cable;meter
6;AC-ADSS-SM-288C;Jasa Pemasangan Aerial Cable Fiber Optik Single Mode 288 Core G.652 C Type ADSS Cable;meter
7;JC-OF-SM-12C;Jasa Pemasangan Joint Closure Untuk Fiber Optik Kapasitas 12 Core;pcs
8;JC-OF-SM-24C;Jasa Pemasangan Joint Closure Untuk Fiber Optik Kapasitas 24 Core;pcs
9;JC-OF-SM-48C;Jasa Pemasangan Joint Closure Untuk Fiber Optik Kapasitas 48 Core;pcs
10;JC-OF-SM-96C;Jasa Pemasangan Joint Closure Untuk Fiber Optik Kapasitas 96 Core;pcs
11;JC-OF-SM-144C;Jasa Pemasangan Joint Closure Untuk Fiber Optik Kapasitas 144 Core;pcs
12;JC-OF-SM-288C;Jasa Pemasangan Joint Closure Untuk Fiber Optik Kapasitas 288 Core;pcs
13;OTB-SM-6;Jasa Pemasangan OTB Single Mode kapasitas 12 core, Adapter (SC Connector), pigtail dan protection sleeve pada cassette/box;pcs
14;OTB-SM-8;Jasa Pemasangan OTB Single Mode kapasitas 12 core, Adapter (SC Connector), pigtail dan protection sleeve pada cassette/box;pcs
15;OTB-SM-12;Jasa Pemasangan OTB Single Mode kapasitas 12 core, Adapter (SC Connector), pigtail dan protection sleeve pada cassette/box;pcs
16;OTB-SM-24;Jasa Pemasangan OTB Single Mode kapasitas 24 core, Adapter (SC Connector), pigtail dan protection sleeve pada cassette/box;pcs
17;OTB-SM-48;Jasa Pemasangan OTB Single Mode kapasitas 48 core, Adapter (SC Connector), pigtail dan protection sleeve pada cassette/box;pcs
18;OTB-SM-96;Jasa Pemasangan OTB Single Mode kapasitas 96 core, Adapter (SC Connector), pigtail dan protection sleeve pada cassette/box;pcs
19;OTB-SM-144;Jasa Pemasangan OTB Single Mode kapasitas 144 core, Adapter (SC Connector), pigtail dan protection sleeve pada cassette/box;pcs
20;OTB-SM-288;Jasa Pemasangan OTB Single Mode kapasitas 288 core, Adapter (SC Connector), pigtail dan protection sleeve pada cassette/box;pcs
21;PS-1-2-FDT;Jasa pemasangan Passive Splitter 1:2, type modular SC/UPC, for FDT, termasuk pigtail;pcs
22;PS-1-4-FDT;Jasa pemasangan Passive Splitter 1:4, type modular SC/UPC, for FDT, termasuk pigtail;pcs
23;PS-1-8-FAT;Jasa pemasangan Passive Splitter 1:8, type modular SC/UPC, for FAT, termasuk pigtail;pcs
